timestamp,event_type,username,source_ip,source_country,outcome,privileged,host,user_agent
2026-08-20T12:00:00Z,login,alice,10.0.0.15,US,success,false,portal-01,Chrome
2026-08-20T12:01:00Z,login,bob,10.0.0.22,US,success,false,vpn-01,Edge
2026-08-20T12:05:00Z,login,service_backup,10.0.0.8,US,success,true,backup-01,ServiceClient
2026-08-20T12:10:00Z,login,jdoe,203.0.113.50,RU,failure,false,vpn-01,Python-requests
2026-08-20T12:10:35Z,login,jdoe,203.0.113.50,RU,failure,false,vpn-01,Python-requests
2026-08-20T12:11:10Z,login,jdoe,203.0.113.50,RU,failure,false,vpn-01,Python-requests
2026-08-20T12:11:45Z,login,jdoe,203.0.113.50,RU,failure,false,vpn-01,Python-requests
2026-08-20T12:12:20Z,login,jdoe,203.0.113.50,RU,failure,false,vpn-01,Python-requests
2026-08-20T12:13:00Z,login,jdoe,203.0.113.50,RU,success,false,vpn-01,Python-requests
2026-08-20T12:20:00Z,login,alice,198.51.100.25,NL,failure,false,sso-01,curl
2026-08-20T12:20:45Z,login,bob,198.51.100.25,NL,failure,false,sso-01,curl
2026-08-20T12:21:30Z,login,carol,198.51.100.25,NL,failure,false,sso-01,curl
2026-08-20T12:22:15Z,login,dave,198.51.100.25,NL,failure,false,sso-01,curl
2026-08-20T12:23:00Z,login,erin,198.51.100.25,NL,failure,false,sso-01,curl
2026-08-20T12:24:00Z,login,frank,198.51.100.25,NL,failure,false,sso-01,curl
2026-08-20T12:30:00Z,login,secadmin,192.0.2.77,CN,success,true,admin-portal,Firefox
2026-08-20T12:40:00Z,login,alice,10.0.0.15,US,success,false,portal-01,Chrome
2026-08-20T12:42:00Z,login,carol,10.0.0.31,US,failure,false,vpn-01,Safari
2026-08-20T12:43:00Z,login,carol,10.0.0.31,US,success,false,vpn-01,Safari
2026-08-20T12:50:00Z,login,bob,10.0.0.22,US,success,false,sso-01,Edge

